"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","should_add[pet84]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_return_value_when_no_exception_occurs","qa-testing-utils.tests","Wed Jun 25 05:48:53 UTC 2025","passed","Wed Jun 25 05:48:53 UTC 2025","","exception_utils_tests","",""
"","5","should_add[pet37]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_fail_not_within_dates[test_date1-start_date1-end_date1]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","2","should_return_value_and_log_with_trace","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","logger_tests","",""
"","5","should_add[pet53]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","1","should_log_entry_and_exit_with_traced_decorator","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","logger_tests","",""
"","5","should_add[pet10]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","4","should_add[pet68]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","1","should_trace","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","logger_tests","",""
"","3","should_add[pet3]","qa-pytest-examples.tests","Wed Jun 25 05:49:07 UTC 2025","passed","Wed Jun 25 05:49:07 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_fail_not_within_dates[test_date2-start_date2-end_date2]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","3","should_add[pet66]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","4","should_add[pet46]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","1","should_render_object","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","string_utils_tests","",""
"","1","should_flat_map","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","stream_utils_tests","",""
"","4","should_add[pet31]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","1","should_match_within_dates[test_date0-start_date0-end_date0]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","3","should_add[pet62]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","4","should_add[pet92]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","5","should_add[pet69]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_match_within_dates[test_date1-None-end_date1]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","5","should_add[pet0]","qa-pytest-examples.tests","Wed Jun 25 05:49:07 UTC 2025","passed","Wed Jun 25 05:49:07 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_match_within_dates[test_date4-start_date4-end_date4]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","0","should_preserve_signature","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","logger_tests","",""
"","5","should_add[pet99]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","4","should_add[pet45]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","6","should_add[pet23]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","5","should_add[pet97]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_match_within_dates[test_date2-start_date2-None]","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","1","should_fail","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","skipped","Wed Jun 25 05:48:52 UTC 2025","SelfTests","self_tests","",""
"","0","should_match_items_in_iterator","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","0","should_match_stream_containing_every","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","0","should_adapt_iterator","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","0","should_enforce_immutability_with_dataclass","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","object_utils_tests","",""
"","0","should_inject_logger_with_logger_decorator","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","logger_tests","",""
"","4","should_add[pet63]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_write_empty_csv","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","file_utils_tests","",""
"","7004","should_retry","qa-pytest-commons.tests","Wed Jun 25 05:48:53 UTC 2025","passed","Wed Jun 25 05:49:00 UTC 2025","BddScenarioTests","bdd_scenario_tests","",""
"lazy consumption too","1","should_stream","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","stream_utils_tests","",""
"","4","should_add[pet64]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","4","should_add[pet47]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","0","should_match_all_in_iterator","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","","matchers_tests","",""
"","5","should_add[pet59]","qa-pytest-examples.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SwaggerPetstoreMockedTests","swagger_petstore_mocked_tests","",""
"","1","should_assert_defaults","qa-testing-utils.tests","Wed Jun 25 05:48:52 UTC 2025","passed","Wed Jun 25 05:48:52 UTC 2025","SelfTests","self_tests","",""
